date,entity,signal
2026-04-03 00:00:00+00:00,META,0
2026-04-03 00:00:00+00:00,MSFT,0
2026-04-03 00:00:00+00:00,TSLA,0
2026-04-04 00:00:00+00:00,META,1
2026-04-04 00:00:00+00:00,MSFT,0
2026-04-04 00:00:00+00:00,TSLA,1
2026-04-05 00:00:00+00:00,META,0
2026-04-05 00:00:00+00:00,MSFT,0
2026-04-05 00:00:00+00:00,TSLA,0
2026-04-06 00:00:00+00:00,META,0
2026-04-06 00:00:00+00:00,MSFT,0
2026-04-06 00:00:00+00:00,TSLA,0
2026-04-07 00:00:00+00:00,META,0
2026-04-07 00:00:00+00:00,MSFT,0
2026-04-07 00:00:00+00:00,TSLA,0
2026-04-08 00:00:00+00:00,META,1
2026-04-08 00:00:00+00:00,MSFT,0
2026-04-08 00:00:00+00:00,TSLA,0
2026-04-09 00:00:00+00:00,META,1
2026-04-09 00:00:00+00:00,MSFT,0
2026-04-09 00:00:00+00:00,TSLA,0
2026-04-10 00:00:00+00:00,MSFT,0
2026-04-11 00:00:00+00:00,MSFT,0
2026-04-11 00:00:00+00:00,NVDA,0
2026-04-12 00:00:00+00:00,NVDA,0
